name,date,date_confirmed,country,city,image,link,distance_5,distance_10,distance_15,distance_20,distance_25,distance_30,distance_35,distance_40,distance_45,distance_50,distance_55,distance_60,distance_65,distance_70,distance_75,distance_80,distance_85,distance_90,distance_95,distance_100,distance_105,distance_110,distance_115,distance_120,distance_125,distance_130,distance_135,distance_140,distance_145,distance_150,distance_155,distance_160,distance_165,distance_170,distance_175,distance_250,distance_300,style_Altitude,style_Asateam,style_Autonomy,style_Capitals/largecities,style_Cascade,style_Castles,style_Children's&Juniors,style_CitytoCity,style_Cliffs,style_Cross-border,style_Culture&History,style_Duo,style_Forest,style_Island,style_Lakes&ponds,style_Mountain,style_Nature,style_Nocturnal,style_Overseveraldays,style_Relay,style_Sand,style_Seaside,style_Snow,style_UTMBWorldSeries,style_UrbanTrail,style_Vertical,style_Vineyard,disipline_Road Running,disipline_Trail,disipline_Walking,latitude,longitude
Kaga Spa Trail Endurance 100 Japan ,"Sat, June 21, 2025",True,Japan,Kaga,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/asie/japon/prefecture-dishikawa/kaga-shi/kagaspa-trail-endurance-100-japan-by-utmb-r/sbjaajcgk8dyabdv8ytp",https://www.finishers.com/en/event/kaga-spa-trail-endurance-100-japan-by-utmb-r,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,30.3833336,-179.2833333
La Sportiva Lavaredo Ultra Trail ,"25 Wed ➜ June 28, 2025",True,Italy,Cortina d'Ampezzo,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/italie/venetie/belluno/la-sportiva-lavaredo-ultra-trail/AdobeStock_211546446_d9qkpx",https://www.finishers.com/en/event/la-sportiva-lavaredo-ultra-trail,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,46.5383332,12.1373506
HOKA Val d'Aran ,"3 Thu ➜ July 6, 2025",True,Spain,Vielha e Mijaran,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/espagne/catalonia/lleida/val-daran-by-utmb/kavval_val_d_aran_by_UTMB_g3plnp",https://www.finishers.com/en/event/val-daran-by-utmb,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,42.7017572,0.7954744
Restonica Trail ,Early July 2025,False,France,Corte,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/france/corse/haute-corse/ultra-trail-di-corsica-utc-and-restonica-trail/Kavval_Ultra_trail_di_corsica___restonica_trail_pkfu6y",https://www.finishers.com/en/event/restonica-trail,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,True,42.3052904,9.1511935
Trail Verbier St Bernard ,"11 Fri ➜ July 13, 2025",True,Switzerland,Châbles,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/suisse/fribourg/la-broye/trail-verbier-st-bernard/AdobeStock_337938128_hfvvb9",https://www.finishers.com/en/event/trail-verbier-st-bernard-utmb,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,46.8266534,6.8097105
Eiger Ultra-Trail ,"16 Wed ➜ July 19, 2025",True,Switzerland,Grindelwald,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/suisse/berne/district-dinterlaken/eiger-ultra-trailr/AdobeStock_161172231_d7f9iq",https://www.finishers.com/en/event/eiger-ultra-trail-utmb,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,46.6242733,8.0367462
Monte Rosa Walserwaeg ,"18 Fri ➜ July 20, 2025",True,Italy,Aosta,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/italie/vallee-d-aoste/vallee-daoste/monte-rosa-walserwaeg-by-utmb/ufuvcqw6ngbigsggqyzi",https://www.finishers.com/en/event/monte-rosa-walserwaeg-by-utmb,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,45.7370885,7.3196649
Speedgoat Mountain Races ,"19 Sat ➜ July 20, 2025",True,United States,Alta,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/amerique-du-nord/etats-unis/utah/comte-de-salt-lake/speedgoat-mountain-races-by-utmb/b0okapqsufolszjhmjtv",https://www.finishers.com/en/event/speedgoat-mountain-races-by-utmb,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,55.001251,-115.002136
Quito Trail Ecuador ,Early August 2025,False,Ecuador,Quito,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/amerique-du-sud/equateur/province-de-pichincha/distrito-metropolitano-de-quito/quito-trail-ecuador-by-utmb/h94cxjggpcynzjppmoy1",https://www.finishers.com/en/event/quito-trail-ecuador-by-utmb,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,-0.2201641,-78.5123274
KAT100 Austria ,"7 Thu ➜ August 9, 2025",True,Austria,Kitzbühel,"https://res.cloudinary.com/kavval/image/upload/h_380,w_380,g_auto,c_lfill,q_auto:low,f_auto/events/europe/autriche/tyrol/district-de-kitzbuhel/kat100/AdobeStock_161292413_ag92gg",https://www.finishers.com/en/event/kat100-utmb,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,47.4463585,12.3911473
